id,url,title,price,location,type,area,rooms,bedrooms,bathrooms,description,property_state,jardin,piscine,cuisine_equiped,terrasse,garage,ascenseur,quartier,status
,https://www.avito.ma/fr/abbadi/appartements/Appartement_134_m_%C3%A0_vendre__56091575.htm,Appartement 134 m à vendre,1100000,"Abbadi, Temara","Appartements, à vendre",,,,,"Appartement ensoleillé toute la journée bon entourage et bon voisinage
Terrasse en moitié couverte.",,false,false,false,true,false,false,Abbadi,à vendre
,https://www.avito.ma/fr/abbadi/appartements/apparemment_a_vendre__56353305.htm,apparemment a vendre,960000,"Abbadi, Temara","Appartements, à vendre",96,4,3,,À vendre – Appartement 3 chambres de 96 m² avec garage et balcon.,,false,false,false,false,true,false,Abbadi,à vendre
,https://www.avito.ma/fr/abbadi/appartements/appartement_74_m2_temara_a_vendre_56149269.htm,appartement 74 m2 temara a vendre,740000,"Abbadi, Temara","Appartements, à vendre",,3,2,1,"Appart au 2 étag à vendre, Temara, qui comprend : 2 chambres, 1 salle de bain et WC, 1 salon, 1 cuisine",,false,false,false,false,false,false,Abbadi,à vendre
,https://www.avito.ma/fr/abbadi/maisons_et_villas/maison_120m2_avec_2_garages__55709030.htm,maison 120m2 avec 2 garages,2980000,"Abbadi, Temara","Maisons et Villas, à vendre",,,,,Maison spacieuse,,false,false,false,false,false,false,Abbadi,à vendre
,https://www.avito.ma/fr/abbadi/maisons_et_villas/maison_R_plus2__55822765.htm,maison R plus2,3800000,"Abbadi, Temara","Maisons et Villas, à vendre",,,,,2 apparemment en plein avenue 51 près mosquée alhoda,,false,false,false,false,false,false,Abbadi,à vendre
,https://www.avito.ma/fr/abbadi/maisons_et_villas/vente_de_maison__55984422.htm,vente de maison,,"Abbadi, Temara","Maisons et Villas, à vendre",120,,,,Maison R 3deux façades à vendre à hay hachmya d'une superficie de terrain 120m²,,false,false,false,false,false,false,Abbadi,à vendre
,https://www.avito.ma/fr/abbadi/villas_et_riads/A_vendre_villa_400m%C2%B2_4_chambres_T%C3%A9mara_56308339.htm,A vendre villa 400m² 4 chambres Témara,3450000,"Abbadi, Temara","Villas et Riads, à vendre",400,5,4,2,"Superficie terrain : 208 m2
Superficie construite couverte : 400 m2
Double façade Nord et Sud ensoleillée toute la journée
Espace garage pour voiture.
Sous sol : Grand cuisine , Grand Salon , Chambre Avec Placard , Salle de bain, cour anglaise , débarras.
RDC : 2 Grand salons , cheminée , salle de bain.
Étage : 4 chambres avec placards dont une suite parentale, 2 salle de bain, dressing.
Suite parentales de 40m2 avec dressing,, Séjour , Salle de bain , Balcon et une grande chambre avec terrasse.",,false,false,false,true,true,false,Abbadi,à vendre
,https://www.avito.ma/fr/abbadi/villas_et_riads/Appartement_%C3%A0_vendre_155_m%C2%B2_%C3%A0_Temara_56070118.htm,Appartement à vendre 155 m² à Temara,,"Abbadi, Temara","Villas et Riads, à vendre",155,4,02,,"Petite villa d'une superficie de 155M composée des éléments decrits comme suit:
- Une petite cour à l'entrée.
- Une cave habitable ouverte sur une cour (Style à l' Anglaise) composée d'un salon Spatieux, 02 chambres et une grande cuisine avec placard.
- Rez de Chaussée composé de 02 salons une chambre, salle de bain et toilettes.
- Un étage avec une chambre d'amis, 02 chambres à coucher avec balcon, un séjour pour TV, cuisine et salle de bain.
Vous trouverez ci-joint à la présente annonce les photos du local ainsi que sa localisation.
Pour toute informations complémentaires veuillez me contacter sur mon numéro mobile.",,false,false,false,false,false,false,Abbadi,à vendre
,https://www.avito.ma/fr/abbadi/villas_et_riads/Petite_villa_%C3%A0_vendre_%C3%A0_Temara___Hay_Chateau_56130934.htm,Petite villa à vendre à Temara - Hay Chateau,2900000,"Abbadi, Temara","Villas et Riads, à vendre",,6,5,,"Beau quartier à hay chateau à Temara.

Toutes commodités à proximité ( voir google maps القاعة الرياضية لخضر الرداد )

3 façades, 5 chambres, garage, cour, bien ensoleillée, quartier trés calme sans circulation, à deux pas de l'avenue Abdelkrim El Khattabi et au centre de la ville.

Vente directe avec moi même (propriétaire)",,false,false,false,false,true,false,Abbadi,à vendre
,https://www.avito.ma/fr/abbadi/villas_et_riads/jolie_villa_%C3%A0_vendre__56090486.htm,jolie villa à vendre,2500000,"Abbadi, Temara","Villas et Riads, à vendre",,,,,"particulier mets en vente une belle villa située au Quartier ABBADDI temara avec un prix raisonnable . sous sol habitable, rez-de-chaussée et 1 er étage. Quartier très calme et bon voisinage. pour plus de renseignements veuillez me contacter. svp intermédiaires s'abstenir.",,false,false,false,false,false,false,Abbadi,à vendre
