type,area,property_state,rooms,bedrooms,bathrooms,jardin,piscine,cuisine_equiped,terrasse,garage,quartier,price_de_m2,price
villa,970.0,,8.0,5.0,4.0,1.0,0.0,0.0,1.0,1.0,Souissi,9072.164948453608,8800000.0
villa,970.0,,8.0,5.0,4.0,1.0,0.0,0.0,1.0,1.0,Souissi,9072.164948453608,8800000.0
villa,920.0,10-20 ans,3.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,Souissi,10652.173913043478,9800000.0
villa,250.0,20-30 ans,7.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,Guich Oudaya,15200.0,3800000.0
appartement,97.0,30-50 ans,5.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,Hay Al Kora,11855.670103092783,1150000.0
villa,1000.0,,10.0,7.0,6.0,1.0,1.0,0.0,0.0,0.0,Rabat,17000.0,17000000.0
appartement,150.0,,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,Agdal,11000.0,1650000.0
appartement,160.0,10-20 ans,6.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,Agdal,23750.0,3800000.0
villa,2000.0,5-10 ans,8.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,Souissi,7000.0,14000000.0
appartement,73.0,,,1.0,2.0,0.0,0.0,0.0,1.0,1.0,Agdal,23972.602739726026,1750000.0
maison,190.0,,2.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,El Youssoufia,9368.421052631578,1780000.0
appartement,173.0,10-20 ans,5.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,Riyad,22543.352601156068,3900000.0
appartement,111.0,10-20 ans,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Hay Nahda,5315.315315315315,590000.0
appartement,159.0,,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,Agdal,16981.132075471698,2700000.0
appartement,92.0,,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,Hay Al Fath,17391.304347826088,1600000.0
appartement,250.0,,5.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,Riyad,19200.0,4800000.0
maison,172.0,10-20 ans,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,Hay El Menzah,17441.86046511628,3000000.0
,800.0,,11.0,11.0,3.0,1.0,0.0,1.0,1.0,1.0,Hassan - Centre Ville,11250.0,9000000.0
,150.0,1-5 ans,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,Hay El Menzah,25333.333333333332,3800000.0
appartement,112.0,,5.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,Guich Oudaya,13571.42857142857,1520000.0
appartement,120.0,30-50 ans,5.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,Agdal,14916.666666666666,1790000.0
villa,2000.0,,6.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,Souissi,7500.0,15000000.0
appartement,136.0,,5.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,Riyad,18970.58823529412,2580000.0
appartement,130.0,10-20 ans,3.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,Agdal,21538.46153846154,2800000.0
villa,1850.0,,7.0,4.0,4.0,1.0,1.0,1.0,0.0,1.0,Souissi,8108.108108108108,15000000.0
appartement,183.0,5-10 ans,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,Agdal,21857.92349726776,4000000.0
appartement,101.0,,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,Kébibat,12871.287128712871,1300000.0
appartement,103.0,5-10 ans,4.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,Riyad,194.1747572815534,20000.0
appartement,90.0,5-10 ans,4.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,Agdal,23333.333333333332,2100000.0
villa,400.0,30-50 ans,9.0,5.0,4.0,1.0,0.0,0.0,1.0,1.0,Souissi,22500.0,9000000.0
appartement,255.0,,6.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,Riyad,16470.58823529412,4200000.0
villa,1000.0,1-5 ans,7.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,Souissi,60000.0,60000000.0
appartement,103.0,10-20 ans,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,Hassan - Centre Ville,17961.165048543688,1850000.0
,273.0,5-10 ans,9.0,7.0,5.0,1.0,0.0,0.0,1.0,1.0,Hay Ach-chbanat,17765.567765567765,4850000.0
appartement,212.0,,5.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,Riyad,24056.603773584906,5100000.0
appartement,134.0,10-20 ans,4.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,Agdal,15298.507462686568,2050000.0
villa,840.0,1-5 ans,6.0,4.0,3.0,1.0,0.0,1.0,1.0,1.0,Riyad,10714.285714285714,9000000.0
villa,700.0,Moins d'un an,10.0,7.0,5.0,1.0,1.0,1.0,1.0,1.0,Souissi,50000.0,35000000.0
appartement,140.0,10-20 ans,4.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,Agdal,14285.714285714286,2000000.0
appartement,65.0,,3.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,Diour Jamaa,25384.615384615383,1650000.0
appartement,94.0,,3.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,Riyad,26595.744680851065,2500000.0
villa,450.0,10-20 ans,5.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,Riyad,17333.333333333332,7800000.0
,300.0,30-50 ans,10.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,L'Ocean,9333.333333333334,2800000.0
appartement,239.0,Moins d'un an,5.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,Hay El Menzah,20711.297071129706,4950000.0
appartement,145.0,5-10 ans,4.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,Riyad,137.93103448275863,20000.0
appartement,156.0,5-10 ans,3.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,Souissi,22115.384615384617,3450000.0
villa,930.0,,10.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,Souissi,30107.52688172043,28000000.0
appartement,90.0,5-10 ans,4.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,L'Ocean,16444.444444444445,1480000.0
appartement,160.0,,4.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,Agdal,25625.0,4100000.0
